,model,store,versions,sale
615,华为HUAWEI畅享9PluS,众宇通手机专营店,"{'全网通(6GB 128GB)': '1189.00', '全网通(4GB 128GB)': '1099.00'}",0.9
337,iPhonexS,泰业优品二手手机旗舰店,"{'256G 全网通': '5188.00', '64G 全网通': '4566.00', '512G 全网通': '5999.00'}",0.9
219,荣耀v30,新松联手机旗舰店,"{'全网通 8GB+128GB 碎屏险套装': '3699.00', '全网通 6GB+128GB 碎屏险套装': '3299.00', '全网通 8GB+128GB 智能AI音箱套装': '3749.00', '全网通 6GB+128GB  荣耀手环5NFC套装': '3459.00', '全网通 8GB+128GB 荣耀手环5NFC套装': '3859.00'}",0.9
297,荣耀Play3,伟德手机专营店,"{'(4G RAM+64G ROM)': '799.00', '(6G RAM+64G ROM)': '1199.00', '(4G RAM+128G ROM)': '1299.00'}",0.9
325,iPhonexS,泰业优品二手手机旗舰店,"{'256G 全网通': '5188.00', '64G 全网通': '4566.00', '512G 全网通': '5999.00'}",0.9
184,三星（S,炜东电商旗舰店,{'': '11999.00'},0.9
215,三星（S,炜东电商旗舰店,{'': '11999.00'},0.9
238,iPhoneX,智达二手手机专营店,"{'64G 全网通4G': '3049.00', '256G 全网通4G': '3519.00', '64G 全网通4G 赠原装充电器': '3188.00', '256G 全网通4G 赠原装充电器': '3688.00', '64G 全网通4G【6期免息】': '3279.00', '256G 全网通4G【6期免息】': '3869.00'}",0.9
385,华为畅享10pluS,京联通达旗舰店,"{'全网通（4G+128G）': '1399.00', '全网通（6G+128G）': '1699.00', '全网通（8G+128G）': '1899.00'}",0.9
246,iPhoneX,智达二手手机专营店,"{'64G 全网通4G': '3049.00', '256G 全网通4G': '3519.00', '64G 全网通4G 赠原装充电器': '3188.00', '256G 全网通4G 赠原装充电器': '3688.00', '64G 全网通4G【6期免息】': '3279.00', '256G 全网通4G【6期免息】': '3869.00'}",0.9
249,AppleiPhone8,拍拍二手自营旗舰店,{'': '2699.00'},0.9
426,华为畅享10pluS,京联通达旗舰店,"{'全网通（4G+128G）': '1399.00', '全网通（6G+128G）': '1699.00', '全网通（8G+128G）': '1899.00'}",0.9
105,iPhone11,发动机优品二手手机专营店,"{'64G 全网通 赠苹果充电套装': '4899.00', '128G 全网通 赠苹果充电套装': '5399.00', '256G 全网通': '6099.00', '64G 全网通 0首付 白条分期6期免息手机': '5266.00', '128G 全网通 0首付 白条分期6期免息手机': '5799.00', '64G 全网通 18W PD快充套装版': '4899.00', '128G 全网通 18W PD快充套装版': '5399.00'}",0.9
145,海信A6L,海信手机京东自营旗舰店,"{'6GB+128GB': '2799.00', '6GB+64GB': '2599.00'}",0.9
267,三星（S,三星二手手机旗舰店,"{'64G': '1799.00', '移动版(CMCC)': '1499.00'}",0.9
188,荣耀v30,新松联手机旗舰店,"{'全网通 8GB+128GB 碎屏险套装': '3699.00', '全网通 6GB+128GB 碎屏险套装': '3299.00', '全网通 8GB+128GB 智能AI音箱套装': '3749.00', '全网通 6GB+128GB  荣耀手环5NFC套装': '3459.00', '全网通 8GB+128GB 荣耀手环5NFC套装': '3859.00'}",0.9
159,iPhone11Pro,明日数码旗舰店,"{'全网通(64GB)': '8069.00', '全网通(256GB)': '9499.00', '全网通(512GB)': '11159.00', '3-12期免息/全网通(64GB)': '9399.00', '3-12期免息/全网通(256GB)': '10999.00', 'AirPods 2代无线套装/全网通(64GB)': '9499.00', 'AirPods 2代无线套装/全网通(256GB)': '10799.00', '全网通(64GB)赠苹果充电套装': '8466.00', '全网通(256GB)赠苹果充电套装': '9799.00'}",0.8
469,荣耀Note10,茄子手机旗舰店,"{'全网通(6G+64G)': '1599.00', '全网通(6G+128G)': '1368.00'}",0.8
