,model,store,versions,sale
52,荣耀20青春版,荣耀官方旗舰店,"{'4+64GB': '1099.00', '6+64GB': '1399.00', '6+128GB': '1699.00', '8+128GB': '1899.00'}",4712.0
53,创星（手机）S1,炜广天成数码专营店,{'256MB': '95.00'},4580.0
54,vivoiQOOPro5G,vivo官方旗舰店,"{'8GB+128GB': '3298.00', '12GB+128GB': '3798.00'}",4563.0
55,iPhoneXR,苏宁易购官方旗舰店,{'128GB': '5088.00'},4488.0
56,OPPORenoAce,OPPO官方旗舰店,"{'8+128GB': '2999.00', '8+256GB': '3199.00'}",4475.0
57,ivvi,五洲科技,"{'32GB': '548.00', '64GB': '588.00', '128GB': '688.00'}",4364.0
58,纽曼F9,慕尚年华数码专营店,{'512MB': '168.00'},4330.0
59,华为P30PRO,华为官方旗舰店,"{'8+128GB': '4488.00', '8+256GB': '4988.00', '8+512GB': '5788.00'}",4219.0
60,iPhone8Plus,唯心数码汇,"{'64GB': '2250.00', '256GB': '2490.00'}",4216.0
61,iPhone7Plus,Mob Digital,"{'32GB': '2110.00', '128GB': '2280.00', '256GB': '2400.00'}",4069.0
62,纽曼W560,深圳易乐购数码专营店,{'256MB': '95.00'},3993.0
63,荣耀9x,苏宁易购官方旗舰店,"{'6+64GB': '1299.00', '6+128GB': '1799.00', '4+64GB': '1199.00'}",3941.0
64,华为畅享9,华为官方旗舰店,{'4+64GB': '999.00'},3931.0
65,荣耀畅玩8A,荣耀官方旗舰店,"{'3+32GB': '599.00', '3+64GB': '999.00'}",3879.0
67,诺基亚105新SS,苏宁易购官方旗舰店,{'4MB': '139.00'},3778.0
68,守护宝L105,嘉宇金成数码专营店,{'无': '95.00'},3772.0
69,华为SPN-AL00,华为官方旗舰店,"{'8+128GB': '2099.00', '8+256GB': '2399.00'}",3756.0
70,爱宝隆,嘉祥数码,"{'32GB': '930.00', '64GB': '1010.00', '128GB': '1110.00'}",3617.0
71,荣耀Play3,荣耀官方旗舰店,"{'4+64GB': '899.00', '6+64GB': '1299.00'}",3547.0
72,iPhoneXR,钱柜数码 钱柜集市,"{'64GB': '3380.00', '128GB': '3750.00', '256GB': '3880.00'}",3539.0
73,红米Note8Pro,苏宁易购官方旗舰店,"{'6+128GB': '1399.00', '8+128GB': '1599.00', '8+256GB': '1799.00', '6+64GB': '1199.00'}",3451.0
75,华为nova5Pro,京合旗舰店,"{'8+128GB': '2499.00', '8+256GB': '2899.00'}",3360.0
76,华为畅享8e青春,华为官方旗舰店,{'2+32GB': '799.00'},3356.0
77,红米7A,小米官方旗舰店,"{'2+32GB': '539.00', '3+32GB': '549.00'}",3349.0
78,红米Note8,苏宁易购官方旗舰店,"{'4+64GB': '999.00', '6+64GB': '1099.00', '6+128GB': '1299.00'}",3282.0
80,诺基亚105新SS,天讯蓝图数码专营店,{'4+4MB': '139.00'},3127.0
81,飞利浦E212A,伟业恒通数码专营店,{'32MB': '258.00'},3083.0
82,纽曼M6,纽曼深圳专卖店,{'64MB': '168.00'},3066.0
84,红米7A,苏宁易购官方旗舰店,{'3+32GB': '599.00'},2872.0
85,iPhoneX,奕星科技城,"{'64GB': '3600.00', '256GB': '4000.00'}",2869.0
86,尼凯恩EN8,淘杰翔数码专营店,{'32MB': '89.00'},2817.0
87,华为Mate30Pro,华为官方旗舰店,"{'8+128GB': '5799.00', '8+256GB': '6299.00'}",2790.0
88,iPhone7Plus,格拉科技,"{'32GB': '1500.00', '128GB': '1650.00', '256GB': '1750.00'}",2756.0
89,红米8A,苏宁易购官方旗舰店,"{'3+32GB': '699.00', '4+64GB': '749.00'}",2743.0
90,守护宝上海中兴L550,苏宁易购官方旗舰店,{'32MB': '86.00'},2736.0
92,小米CC9PRO,小米官方旗舰店,"{'6+128GB': '2599.00', '8+128GB': '2799.00'}",2723.0
93,iPhone7Plus,天南数码科技,"{'32GB': '1600.00', '128GB': '1700.00', '256GB': '1850.00'}",2707.0
94,荣耀9x,广东电信亿品汇专卖店,"{'4+64GB': '1099.00', '6+64GB': '1399.00', '6+128GB': '1799.00', '8+128GB': '1999.00'}",2694.0
95,iPhoneX,东和数码,"{'64GB': '3550.00', '256GB': '3950.00'}",2676.0
96,硕王SAILFR20,硕王捷信时代专卖店,"{'3+32G': '398.00', '4+32': '498.00', '6+64G': '598.00', '6+128G': '698.00'}",2672.0
98,iPhoneXSMax,澳华数码潮品汇,"{'64GB': '4500.00', '256GB': '4750.00'}",2620.0
99,小米青春版,叮当数码手机,{'128GB': '1395.00'},2619.0
100,小米CC9,小米官方旗舰店,{'6+128GB': '1699.00'},2569.0
101,小辣椒Q8,炜广天成数码专营店,{'256MB': '99.00'},2558.0
102,红米8,小米官方旗舰店,"{'3+32GB': '699.00', '4+64GB': '799.00'}",2524.0
103,iPhone11ProMax,苏宁易购官方旗舰店,{'64GB': '9599.00'},2453.0
104,iPhone8,AC国际科技,"{'64GB': '1930.00 - 3810.00', '128GB': '1930.00 - 3810.00', '256GB': '1930.00 - 3810.00'}",2452.0
106,尼凯恩EN3c,尼凯恩旗舰店,{'32MB': '99.00'},2422.0
108,华为2299,华翼数码,{'64MB': '238.00 - 348.00'},2384.0
110,21KEQF9,晟功数码专营店,{'512MB': '299.00'},2304.0
111,OPPOK5,苏宁易购官方旗舰店,"{'6+128GB': '1799.00', '8+128GB': '1999.00'}",2288.0
112,iPhoneXSMax,年轻玩物主义,"{'64GB': '3300.00 - 8888.00', '128GB': '3300.00 - 8888.00', '256GB': '3300.00 - 8888.00'}",2282.0
114,纽曼L660,青柠时代数码专营店,{'256MB': '269.00'},2275.0
115,小辣椒F6,尚亿汇通数码专营店,{'32MB': '129.00'},2274.0
116,荣耀20i,三际数码官方旗舰店,"{'6+64GB': '999.00', '4+128GB': '1299.00', '6+128GB': '1499.00', '6+256GB': '1799.00'}",2264.0
117,OPPOA5,OPPO官方旗舰店,{'3+32GB': '699.00'},2242.0
118,iPhoneXR,淘贝贝数码城,"{'64GB': '4550.00 - 5200.00', '128GB': '4550.00 - 5200.00', '256GB': '4550.00 - 5200.00'}",2240.0
119,荣耀20i,广东电信亿品汇专卖店,"{'6+64GB': '999.00', '4+128GB': '1299.00', '6+256GB': '1899.00', '6+128GB': '1499.00'}",2222.0
120,关爱心G3,创于佳讯数码专营店,{'256MB': '95.00'},2201.0
121,华为nova6SE,华为官方旗舰店,{'8+128GB': '2199.00'},2197.0
122,荣耀V20,苏宁易购官方旗舰店,{},2183.0
123,红米K20Pro尊享版,苏宁易购官方旗舰店,{'12+512GB': '2999.00'},2173.0
125,HY,易购手机大卖场,{'64MB': '295.00 - 408.00'},2169.0
126,荣耀8XMAX,荣耀官方旗舰店,"{'6+64GB': '999.00', '6+128GB': '1299.00'}",2161.0
127,魅族魅族16sPro,魅族官方旗舰店,"{'6+128GB': '2699.00', '8+128GB': '2999.00'}",2151.0
129,iPhone8Plus,华强手机批发,"{'64GB': '2050.00 - 4899.00', '256GB': '2050.00 - 4899.00'}",2118.0
130,关爱心G3,关爱心旭光明专卖店,{'256MB': '95.00'},2114.0
131,iPhone8Plus,新能源数码,"{'64GB': '2100.00', '128GB': '2400.00', '256GB': '2430.00'}",2098.0
132,iPhone11Pro,苏宁易购官方旗舰店,{'64GB': '8699.00'},1569.0
134,vivoU3x,苏宁易购官方旗舰店,"{'3+64GB': '899.00', '4+64GB': '999.00', '3+32GB': '799.00'}",1543.0
135,关爱心A5,关爱心赫尔曼专卖店,{'256MB': '95.00'},1536.0
136,荣耀8X,苏宁易购官方旗舰店,{'6+64GB': '1099.00'},1528.0
137,华为nova5i,蓝港数码专营店,"{'6+128GB': '1999.00', '8+128GB': '2199.00'}",1522.0
138,iPhone6S16G,数码通讯科技港,"{'16GB': '799.00 - 1570.00', '32GB': '799.00 - 1570.00', '64GB': '799.00 - 1570.00', '128GB': '799.00 - 1570.00'}",1491.0
139,vivoX27,vivo官方旗舰店,{'8+128GB': '2498.00'},1470.0
140,华为nova5i,小淘器数码专营店,"{'6+128GB': '1799.00', '8+128GB': '1999.00'}",1462.0
141,荣耀NOTE10,荣耀官方旗舰店,"{'6+64GB': '1599.00', '6+128GB': '2099.00', '8+128GB': '2199.00'}",1454.0
142,红米Note8Pro,小米官方旗舰店,"{'6+64GB': '1199.00', '6+128GB': '1399.00', '8+128GB': '1599.00', '8+256GB': '1799.00'}",1441.0
143,iPhone11,苏宁易购官方旗舰店,"{'64GB': '5499.00', '128GB': '5999.00'}",1440.0
146,荣耀9XPRO,荣耀官方旗舰店,"{'8+128GB': '1999.00', '8+256GB': '2199.00'}",1426.0
147,vivoiQOOPro,vivo官方旗舰店,"{'8GB+128GB': '2898.00', '12GB+128GB': '3198.00'}",1422.0
148,飞利浦E109C,华晖数码专营店,{'32MB': '89.00'},1406.0
149,iPhone8,苏宁易购官方旗舰店,{'64GB': '3488.00'},1384.0
150,华为P30PRO,苏宁易购官方旗舰店,"{'8+128GB': '4488.00', '8+256GB': '4988.00'}",1381.0
151,波导A520C,波导七星级专卖店,{'32MB': '158.00'},1380.0
152,索爱SA-Z6,索爱数码旗舰店,{'32MB': '229.00'},1380.0
154,诺基亚600,数码科技123q,{'32MB': '139.00 - 165.00'},1328.0
155,荣耀20i,苏宁易购官方旗舰店,"{'6+64GB': '1099.00', '6+128GB': '1399.00'}",1309.0
157,华为畅享9,小淘器数码专营店,"{'3+32GB': '779.00', '4+64GB': '999.00', '4+128GB': '1199.00'}",1297.0
158,华为畅享9,蓝港数码专营店,"{'3+32GB': '799.00', '4+64GB': '999.00', '4+128GB': '1199.00'}",1293.0
159,华为nova5Pro,深圳远望数码手机,"{'128GB': '5', '256GB': '5'}",1282.0
160,天语R7C,天语强宇专卖店,{'256MB': '99.00'},1278.0
161,华为Mate305G,苏宁易购官方旗舰店,"{'8+128GB': '4999.00', '8+256GB': '5499.00'}",1267.0
163,荣耀10青春版,苏宁易购官方旗舰店,{'6+64GB': '1099.00'},1261.0
164,纽曼F6,金辉天成数码专营店,{'32MB': '119.00'},1246.0
165,华为mate30pro,国货平价网,"{'128GB': '3288.00 - 9999.00', '256GB': '3288.00 - 9999.00', '512GB': '3288.00 - 9999.00'}",1236.0
166,华为HuaweiMate30,e酷手机网精品店,"{'128GB': '3288.00 - 6948.00', '256GB': '3288.00 - 6948.00', '512GB': '3288.00 - 6948.00'}",1236.0
167,朵唯D520,朵唯深圳专卖店,{'128MB': '138.00'},1231.0
168,纽曼L99S,纽曼易为理想专卖店,{'64MB': '69.00'},1225.0
169,红米8A,松达汇手机,"{'16GB': '550.59 - 949.41', '32GB': '550.59 - 949.41', '64GB': '550.59 - 949.41'}",1217.0
170,红米K30,苏宁易购官方旗舰店,"{'6+128GB': '1699.00', '8+128GB': '1899.00', '8+256GB': '2199.00'}",1216.0
171,诺基亚新106,哥小哥数码专营店,{'4MB': '129.00'},1215.0
172,小米9,广东电信亿品汇专卖店,{'8+256GB': '3399.00'},1207.0
174,LGRAVER,亿添富数码广场,"{'4GB': '376.00 - 465.00', '64MB': '376.00 - 465.00'}",1187.0
175,OPPOReno2,OPPO官方旗舰店,{'8+128GB': '2999.00'},1184.0
176,荣耀V20,三际数码官方旗舰店,"{'6+128GB': '1699.00', '8+128GB': '2399.00'}",1182.0
177,荣耀9x,白开水数码,{'128GB': '1458.00'},1182.0
178,iPhone11,三际数码官方旗舰店,"{'64GB': '5288.00', '128GB': '5858.00', '256GB': '6688.00'}",1176.0
179,努比亚NX629J,叮当数码手机,{'128GB': '2809.00'},1169.0
180,纽曼S9,纽曼幸福专卖店,{'256MB': '158.00'},1167.0
181,iPhone8,正品全面屏手机店,{'256GB': '2550.00'},1166.0
182,VDVD,三家家数码店,"{'16GB': '358.00', '32GB': '428.00', '64GB': '468.00'}",1163.0
183,vivoZ5,苏宁易购官方旗舰店,"{'8+128GB': '2098.00', '6+128GB': '1598.00'}",1160.0
184,小米CC9PRO,深圳远望数码手机,{'128GB': '5'},1156.0
185,iPhoneX,C位数码科技,"{'64GB': '3450.00', '256GB': '3850.00'}",1147.0
186,华为畅享10plus,蓝港数码专营店,"{'4+128GB': '1399.00', '6+128GB': '1699.00', '8+128GB': '1899.00'}",1143.0
187,vivoX27,vivo衡视专卖店,"{'8+256GB': '2798.00', '8+128GB': '2498.00'}",1139.0
188,,壹加陆科技城,"{'64GB': '3350.00', '256GB': '3750.00'}",1139.0
189,华为畅享10,巨利泰数码专营店,"{'4+64GB': '1199.00', '6+64GB': '1399.00', '4+128GB': '1399.00'}",1127.0
190,vivoZ5X,首佳誉数码专营店,"{'6+128GB': '1398.00', '6+64GB': '1298.00'}",1126.0
191,红米Note8,土豪金手机,{'128GB': '1395.00'},1120.0
192,,智能精品手机店,"{'64GB': '2200.00', '256GB': '2600.00'}",1113.0
194,荣耀20青春版,京合旗舰店,"{'4+64GB': '1099.00', '6+64GB': '1399.00', '6+128GB': '1699.00', '8+128GB': '1899.00'}",1109.0
195,华为畅享9PLUS,蓝港数码专营店,"{'4+64GB': '1299.00', '4+128GB': '1399.00', '6+128GB': '1699.00'}",1109.0
196,iPhone8Plus,博粤数码,"{'64GB': '2119.00', '128GB': '2419.00', '256GB': '2469.00'}",1109.0
197,华为P30,苏宁易购官方旗舰店,"{'6+128GB': '3388.00', '8+128GB': '3688.00'}",1101.0
198,iPhoneXR,七分钟,"{'64GB': '3380.00', '128GB': '3750.00', '256GB': '3880.00'}",1101.0
199,纽曼V7,纯林伟业数码专营店,{'64MB': '95.00'},1096.0
200,iphone6S,k哥科技,"{'32GB': '930.00', '64GB': '1010.00', '128GB': '1110.00'}",1096.0
201,iPhoneXR,智能精品手机店,"{'64GB': '3500.00', '128GB': '3850.00', '256GB': '3950.00'}",1088.0
202,华为畅享9,巨利泰数码专营店,"{'3+32GB': '749.00', '4+64GB': '849.00', '4+128GB': '999.00'}",1086.0
203,iPhone8,东晟手机,"{'64GB': '2120.00', '128GB': '2520.00', '256GB': '2570.00'}",1084.0
204,一加HD1900,一加创华威专卖店,"{'8+128GB': '3079.00', '8+256GB': '3279.00'}",1084.0
205,小米9pro,叮当数码手机,{'128GB': '3738.00'},1079.0
206,iPhone11,中国移动官方旗舰店,"{'128GB': '5888.00', '64GB': '5358.00', '256GB': '6728.00'}",1079.0
207,,拓展通讯,"{'32GB': '548.00', '64GB': '588.00', '128GB': '688.00'}",1075.0
208,华为nova4e,苏宁易购官方旗舰店,{'4+128GB': '1149.00'},1073.0
209,创星（手机）Z9,慕尚年华数码专营店,{'64MB': '165.00'},1070.0
210,,国货平价网,{'128GB': '1298.00'},1059.0
211,华为nova5Pro,同步飞扬数码专营店,"{'8+128GB': '2499.00', '8+256GB': '2899.00'}",1051.0
212,荣耀9x,蓝港数码专营店,"{'6+64GB': '1299.00', '6+128GB': '1799.00', '8+128GB': '1999.00', '4+64GB': '1099.00'}",1048.0
213,长虹GA528,网能恒业数码专营店,{'64MB': '168.00'},1045.0
214,纽曼A8(U8),简易生活数码专营店,{'512+4GB': '318.00'},1044.0
215,一加GM1910,一加创华威专卖店,{'8+256GB': '3799.00'},1037.0
216,荣耀8X,荣耀官方旗舰店,"{'6+64GB': '1099.00', '6+128GB': '1549.00'}",1029.0
217,红米K20Pro,明通数码手机,{'256GB': '2298.00'},1028.0
218,一加HD1900,69数码手机,{'256GB': '2749.00'},1028.0
219,多亲多亲手机1S+,港行先锋数码专营店,{'4GB': '399.00'},1023.0
220,OPPORenoAce,OPPO平实专卖店,"{'8+128GB': '2999.00', '8+256GB': '3199.00', '12+256GB': '3999.00'}",1022.0
221,荣耀畅玩8A,苏宁易购官方旗舰店,{'3+32GB': '599.00'},1013.0
222,创星（手机）X5,佳佳购数码专营店,"{'3G+32GB': '489.00', '2G+16GB': '399.00'}",1002.0
223,vivoiQOONeo855竞速版,vivo官方旗舰店,"{'8+128GB': '2598.00', '12+128GB': '2798.00'}",1002.0
224,关爱心G2,关爱心弗瑞尔专卖店,{'256MB': '78.00'},1001.0
225,飞利浦E163K,苏宁易购官方旗舰店,{'32MB': '115.00'},1000.0
226,小辣椒MINIM1,深圳海创利华数码专营店,"{'2+16GB': '389.00', '2+32GB': '479.00', '3+32GB': '549.00', '3+64GB': '639.00'}",997.0
227,小辣椒K3,纯林伟业数码专营店,"{'256MB': '128.00', '8GB': '158.00', '16GB': '178.00', '32GB': '198.00'}",992.0
228,iPhoneXSMax,新时尚科技,"{'64GB': '4480.00', '256GB': '4880.00', '512GB': '5900.00'}",988.0
229,iPhone11,绿森数码官方旗舰店,"{'64GB': '5499.00', '128GB': '5999.00'}",988.0
230,红米K20骁龙855,深圳远望数码手机,{'256GB': '5'},984.0
231,华为nova5Pro,同迅数码专营店,"{'8+128GB': '2499.00', '8+256GB': '2899.00'}",981.0
232,硕王S3,硕王益家专卖店,{'32MB': '99.00'},976.0
233,OPPORenoAce,苏宁易购官方旗舰店,"{'8+128GB': '2999.00', '8+256GB': '3199.00'}",975.0
234,朵唯P9,点点云购数码专营店,"{'4+64GB': '599.00', '6+128GB': '739.00'}",972.0
235,三星GalaxyM30sSM-M3070,三星官方旗舰店,{'6+128GB': '1699.00'},969.0
237,荣耀9x,博盛景数码专营店,"{'4+64GB': '1099.00', '6+64GB': '1299.00', '6+128GB': '1799.00', '8+128GB': '1999.00'}",964.0
238,荣耀20i,蓝港数码专营店,"{'4+128GB': '1299.00', '6+64GB': '999.00', '6+128GB': '1399.00', '6+256GB': '1799.00'}",957.0
239,华为nova5Pro,蓝港数码专营店,"{'8+128GB': '2699.00', '8+256GB': '3099.00'}",956.0
240,创星（手机）R9,阿兰贝尔数码专营店,"{'256MB': '228.00', '8GB': '258.00', '16GB': '278.00', '32GB': '298.00'}",953.0
242,创星（手机）X5,蒙奇数码专营店,"{'3G+32GB': '469.00', '2+16GB': '399.00'}",949.0
243,酷派1831-A0酷玩7C天猫十周年定制版,浩瑜数码专营店,"{'4+64GB': '489.00', '4+128GB': '579.00'}",937.0
244,纽曼N99,紫悦数码专营店,{'32MB': '58.00'},935.0
245,华为Mate30,苏宁易购官方旗舰店,"{'6+128GB': '3999.00', '8+128GB': '4299.00'}",934.0
246,创星（手机）S1C,炜广天成数码专营店,{'4GB': '168.00'},933.0
247,红米Note8Pro,三际数码官方旗舰店,"{'6+64GB': '1299.00', '6+128GB': '1339.00', '8+128GB': '1499.00', '8+256GB': '1699.00'}",929.0
248,华为nova4e,蓝港数码专营店,"{'4+128GB': '1599.00', '6+128GB': '1799.00'}",927.0
250,华为nova5z,同步电讯手机卖家,{'64GB': '1398.00'},926.0
251,iPhoneX,果粉数码3C,"{'64GB': '3600.00', '256GB': '4000.00'}",923.0
252,红米K20Pro尊享版,小米官方旗舰店,{'12+512GB': '2799.00'},920.0
253,VDVD,鸿鑫数码智能,"{'16GB': '328.00', '32GB': '368.00', '64GB': '408.00', '128GB': '448.00'}",917.0
254,坚果Pro3,坚果手机旗舰店,"{'8+128GB': '2899.00', '8+256GB': '3199.00'}",917.0
255,飞利浦E331K,优机汇数码专营店,{'32MB': '158.00'},916.0
256,OPPORenoAce,OPPO欧曙专卖店,"{'8+128GB': '2999.00', '8+256GB': '3199.00', '12+256GB': '3999.00'}",915.0
257,华为Mate20Pro,国货平价网,{'128GB': '3218.00'},909.0
258,,深圳远望数码手机,{'256GB': '5'},903.0
259,诺基亚新106,宸欣数码专营店,{'4MB': '149.00'},897.0
260,iPhone8,博粤数码,"{'64GB': '2119.00', '128GB': '2419.00', '256GB': '2469.00'}",895.0
262,荣耀10青春版,久汇数码专营店,"{'4+64GB': '868.00', '6+64GB': '1068.00', '6+128GB': '1269.00'}",880.0
263,OPPOK5,能良数码官方旗舰店,"{'8+128GB': '1999.00', '8+256GB': '2699.00'}",865.0
264,OPPOK5,三际数码官方旗舰店,"{'6+128GB': '1799.00', '8+128GB': '1999.00', '8+256GB': '2699.00'}",859.0
265,iPhoneXR,十年诚信 精于服务,"{'64GB': '3500.00', '128GB': '3800.00', '256GB': '4100.00'}",846.0
266,三星GalaxyNote10+SM-N97605G,三星官方旗舰店,{'12+256GB': '7999.00'},844.0
267,iPhoneXS,年轻玩物主义,"{'64GB': '4450.00', '256GB': '5050.00'}",842.0
268,红米Note8,三际数码官方旗舰店,"{'4+64GB': '999.00', '6+64GB': '1099.00', '6+128GB': '1299.00'}",840.0
269,荣耀20S,广东电信亿品汇专卖店,"{'6+128GB': '1499.00', '8+128GB': '2199.00'}",839.0
270,爱宝隆,丰达电子手机店,"{'16GB': '814.00', '32GB': '906.50', '64GB': '999.00', '128GB': '1091.50'}",836.0
271,vivoy66,d[s207662557],{'32GB': '440.00'},828.0
272,华为nova5Pro,叮当数码手机,"{'128GB': '2138.00', '256GB': '2468.00'}",828.0
273,荣耀V30,红日通讯认准老店,{'128GB': '3099.00'},827.0
274,iphone6S,壹只机,"{'32GB': '930.00', '64GB': '1010.00', '128GB': '1110.00'}",823.0
275,创星（手机）Z9,赫尔曼数码专营店,{'64MB': '165.00'},822.0
276,OPPOR11,HK良品数码,{'64GB': '699.00'},820.0
277,vivoZ5,vivo天诚专卖店,"{'6+64GB': '1398.00', '6+128GB': '1598.00', '6+256GB': '1698.00', '8+128GB': '2148.00'}",818.0
278,硕王R20,捷路通数码专营店,"{'4+32GB': '498.00', '6+64GB': '598.00', '3+32GB': '398.00', '6+128GB': '698.00'}",818.0
279,三星GalaxyS10+SM-G9750,机峰认证代购,{'128GB': '3298.00'},807.0
280,华为nova5Pro,同步电讯手机卖家,{'128GB': '2138.00'},806.0
281,魅族Note9,魅族官方旗舰店,"{'4+64GB': '1199.00', '6+64GB': '1299.00'}",804.0
282,华为nova5Pro,京联通达数码旗舰店,"{'8+128GB': '2499.00', '8+256GB': '2899.00'}",798.0
283,纽曼P20,佳佳购数码专营店,"{'3+32GB': '899.00', '4+64GB': '999.00'}",797.0
284,酷比Y3,koobee手机旗舰店,"{'4+64GB': '478.00', '6+64GB': '538.00', '6+128GB': '638.00'}",795.0
285,vivoZ5,三际数码官方旗舰店,"{'6+128GB': '1598.00', '8+128GB': '2098.00'}",794.0
286,荣耀V30,叮当数码手机,{'128GB': '3078.00'},791.0
287,红米K30,明通数码手机,{'128GB': '1618.00'},789.0
288,荣耀9XPRO,一航通讯手机体验店,{'128GB': '1428.00'},789.0
289,魅族16x,魅族官方旗舰店,{'6+64GB': '1098.00'},788.0
290,天语X27,博科雅创数码专营店,"{'3+16GB': '399.00', '3+32GB': '499.00', '4+64GB': '569.00'}",776.0
291,纽曼P20,万诚春数码专营店,"{'3+32GB': '899.00', '4+64GB': '999.00'}",776.0
292,vivoiQOONeo,vivo官方旗舰店,"{'8+64GB': '2098.00', '8+128GB': '2298.00'}",775.0
293,华为nova5z,白开水数码,{'64GB': '1369.00'},774.0
294,天语Q3,苏宁易购官方旗舰店,{'32MB': '99.00'},772.0
