model,store,versions,sale
AppleiPhone 11,发动机优品二手手机专营店,"{'64G 全网通 赠苹果充电套装': '4899.00', '128G 全网通 赠苹果充电套装': '5399.00', '256G 全网通': '6099.00', '64G 全网通 0首付 白条分期6期免息手机': '5266.00', '128G 全网通 0首付 白条分期6期免息手机': '5799.00', '64G 全网通 18W PD快充套装版': '4899.00', '128G 全网通 18W PD快充套装版': '5399.00'}",900+
Reno 十倍变焦版,OPPO京东自营官方旗舰店,"{'6GB+128GB': '3699.00', '6GB+256GB': '3999.00', '8GB+256GB': '4299.00'}",3.5万+
Appleipone11(A2223),淘金手机专营店,"{'全网通 (64GB)': '5118.00', '全网通 (128G)': '5688.00', '全网通(256G)': '6428.00', '全网通 (64GB)3-24期免息': '5828.00'}",3900+
诺基亚105,诺基亚手机京东自营旗舰店,"{'新105单卡': '149.00', '105单卡': '149.00', '新105双卡': '149.00', '105双卡': '149.00'}",65万+
华为（HUAWEI）华为p30,炜东电商旗舰店,"{'8GB+128GB 全网通（一年碎屏险套餐）': '3678.00', '8GB+256GB 全网通（一年碎屏险套餐）': '4188.00', '6GB+128GB 全网通（一年碎屏险套餐）': '3388.00', '8GB+64GB 全网通（一年碎屏险套餐）': '3388.00'}",1.2万+
黑鲨游戏手机2 Pro,黑鲨京东自营官方旗舰店,"{'12GB+128GB': '3499.00', '12GB+256GB': '3499.00', '12GB+512GB': '3499.00'}",6万+
【年终钜惠-直降2100元起】三星Galaxy S10+ 手机 移动定制版（可升级为全网通） 黑色 8GB+128GB,中国移动手机官方旗舰店,"{'8GB+128GB': '4899.00', '8GB+128GB（碎屏无忧套餐）': '5019.00'}",600+
三星Galaxy A80,三星手机京东自营官方旗舰店,{'': '2739.00'},4400+
联想Lenovo Z5s,联想手机京东自营官方旗舰店,"{'6GB+64GB': '898.00', '6GB+128GB': '1097.00'}",3.3万+
小米（MI）红米8A,佳沪手机旗舰店,"{'全网通4G+64G': '668.00', '全网通3G+32G': '673.00'}",7300+
华为Mate20 手机 全网通 极光色 （6G+128G),聚捷联盛手机旗舰店,"{'（6G+128G)': '2568.00', '（6G+64G）': '2699.00'}",2000+
联想Z6 Pro,联想手机京东自营官方旗舰店,{'': '3299.00'},100+
诺基亚8110 4G,诺基亚手机京东自营旗舰店,"{'裸机': '399.00', '耳机套装': '469.00'}",8.9万+
AppleApple iPhone XR,拍拍二手自营旗舰店,"{'64G全网通': '3999.00', '128G全网通': '4199.00', '256G全网通': '4699.00'}",1200+
小米 红米Note8 pro 6400万四摄Redmi手机 冰翡翠 8G+128G 全网通,疆界互联旗舰店,"{'6G+128G 全网通': '1298.00', '8G+128G 全网通': '1448.00', '6G+64G 全网通': '1188.00', '8G+256G 全网通': '1618.00'}",3900+
华为（HUAWEI）华为p30pro,炜东电商旗舰店,"{'8GB+128GB 全网通（一年碎屏险套餐）': '4478.00', '8GB+256GB 全网通（一年碎屏险套餐）': '4988.00', '8GB+512GB 全网通（一年碎屏险套餐）': '5788.00'}",8500+
Appleiphone11pro max,疆界互联旗舰店,"{'256GB': '10049.00', '64GB': '8799.00', '512GB': '12169.00', '全网通256G+1年碎屏保': '10198.00', '全网通64G+1年碎屏保': '8948.00', '全网通512G+1年碎屏保': '12318.00'}",2100+
华为畅享 9e,华为京东自营官方旗舰店,"{'3GB+32GB': '649.00', '3GB+64GB': '849.00'}",13万+
荣耀v30pro手机加送碎屏险 魅海星蓝 5G全网通 8G+128G,京铠玄手机旗舰店,"{'5G全网通 8G+128G': '3899.00', '5G全网通 8G+256G': '4199.60'}",100+
vivoiQOO Pro,vivo京东自营官方旗舰店,{'': '2898.00'},6800+
华为Mate20手机 翡冷翠 6GB+128GB（到手价2599元）,众宇通手机专营店,"{'6GB+64GB（到手价2299元）': '2699.00', '6GB+128GB（到手价2599元）': '3199.00', '6GB+128GB【分期免息】': '3199.00'}",1500+
vivoiQOO Neo,vivo官方旗舰店,"{'6GB 64GB': '1998.00', '6GB 128GB': '1998.00', '8GB 128GB': '2298.00', '8GB 256GB': '2698.00'}",8000+
魅族16Xs,魅族京东自营旗舰店,"{'全网通（6GB 64GB）': '1299.00', '全网通（6GB 128GB）': '1699.00'}",2.7万+
华为 Mate30 Pro 5G 手机（华为直供 原装正品 5G/4G可选 分期免息）下单享20重礼 亮黑色 全网通（8G+256G）5G版,久汇通官方旗舰店,"{'全网通（8G+128G）5G版': '6399.00', '全网通（8G+256G）5G版': '6899.00', '全网通（8G+512G）5G版': '7899.00', '全网通（8G+128G）4G版': '5799.00', '全网通（8G+256G）4G版': '6299.00', '全网通（8G+128G）5G版+1年碎屏险': '6599.00', '全网通（8G+256G）5G版+1年碎屏险': '7099.00', '全网通（8G+512G）5G版+1年碎屏险': '8099.00', '全网通（8G+128G）4G版+1年碎屏险': '5969.00', '全网通（8G+256G）4G版+1年碎屏险': '6469.00'}",1000+
【二手95新】Apple iPhonex XSmax苹果x xsmax 国行 二手手机 XS max灰色 256G 全网通,泰业优品二手手机旗舰店,"{'64G 全网通': '4799.00', '256G 全网通': '5354.00', '512G 全网通': '5899.00', '6期免息白条分期0首付 (64G全网通)': '5588.00', '6期免息白条分期0首付 (256G全网通)': '5999.00', '6期免息白条分期0首付 (512G全网通)': '6599.00'}",6100+
华为（HUAWEI）华为 mate30pro 5G版,同达丰手机旗舰店,"{'5G版(8G+256G)【华为无线充+华为AI音】': '6909.00', '5G版(8G+512G)【华为无线充+华为AI音】': '7899.00', '5G版(8G+128G)【华为无线充+华为AI音】': '6409.00'}",700+
小米（MI）小米红米K30,佳沪手机旗舰店,"{'全网通6G+128G': '1699.00', '全网通8G+128G': '1899.00', '全网通8G+256G': '2199.00'}",600+
小米（MI）红米note7pro,佳沪手机旗舰店,{'': '1035.00'},1.2万+
荣耀V20手机全网通智能手机 幻夜黑(6+128G)赠原装耳机+蓝牙音箱,OKSJ手机旗舰店,{'': '1699.00'},2500+
【已降200】华为nova5 Pro手机【华为直供/至高24期免息】全网通4G 亮黑色 8G+128G  （已降200）,千瑞达手机旗舰店,"{'8G+128G  （已降200）': '2499.00', '8G+256G （已降200）': '2899.00', '8G+256G （12期免息）': '3099.00'}",4100+
魅族16s,魅族京东自营旗舰店,"{'全网通（6GB 128GB）': '2399.00', '全网通（8GB 128GB）': '2589.00'}",6.9万+
中兴Blade A7,中兴京东自营官方旗舰店,"{'2GB+32GB': '498.00', '3GB+64GB': '498.00'}",1.6万+
小辣椒红辣椒9X,小辣椒手机京东自营官方旗舰店,{'': '999.00'},2600+
小米 Redmi 红米K30 王一博同款手机 深海微光 全网通6G+128G,谷高数码手机专营店,"{'全网通6G+64G': '1599.00', '全网通6G+128G': '1699.00', '全网通8G+128G': '1899.00', '全网通8G+256G': '2199.00'}",400+
华为（HUAWEI）华为nova4e,炜东电商旗舰店,"{'6G+128G全网通': '1178.00', '6G+128G 全网通一年碎屏险套装': '1229.00'}",7800+
小米（MI）小米9,疆界互联旗舰店,"{'8G+128G 全网通': '2388.00', '6G+128G 全网通': '2368.00', '8G+256G 全网通': '2488.00', '尊享12G+256G 全网通': '4999.00', '8G+128G 全网通 碎屏险套装': '2459.00'}",8900+
华为p20pro 手机 亮黑色 全网通(6G+128G),炜东电商旗舰店,{'': '2799.00'},3300+
【二手9成新】Apple iPhoneX XSmax 苹果XS max 国行二手手机 XS Max 深空灰 256G,发动机优品二手手机专营店,"{'64G': '4636.00', '256G': '5119.00', '512G': '5988.00', '全网通 64G 分期0首付 6期白条免息': '5066.00', '全网通 256G 分期0首付 6期白条免息': '5699.00', '64G+赠苹果原装充电器': '4688.00', '256G+赠苹果原装充电器': '5249.00'}",1500+
小米红米6,小米京东自营旗舰店,"{'3GB+32GB': '649.00', '4GB+64GB': '799.00'}",82万+
苹果Apple iPhone 11 Pro Max 手机全网通智能手机 暗夜绿色 256GB,OKSJ手机旗舰店,{'': '10188.00'},1900+
海信A6L双屏手机,海信手机京东自营旗舰店,"{'6GB+128GB': '2799.00', '6GB+64GB': '2599.00'}",900+
荣耀20pro手机 蓝水翡翠 8G+256G全网通咨询赠一年影视会员观影权益,疆界互联旗舰店,"{'8G+256G全网通咨询赠一年影视会员观影权益': '2599.00', '8G+128G全网通咨询赠一年影视会员观影权益': '2349.00', '8+256G 全网通 MOSCHINO联名版': '9999.00', '8G+256G+一年碎屏险': '3079.00'}",2900+
OPPO K5 6400万超清四摄30W VOOC闪充 骁龙730G拍照游戏手机 k3升级版 奇幻森林(6G+128G) 官方标配,牧申手机旗舰店,"{'官方标配': '1799.00', '超值套装': '1899.00'}",1700+
三星Galaxy A60,三星手机京东自营官方旗舰店,"{'6GB+64GB': '1339.00', '6GB+128GB': '1599.00'}",6.8万+
华为（HUAWEI）荣耀20i,炜东电商旗舰店,"{'全网通(4GB+128GB)': '1099.00', '全网通（6GB+64GB）': '999.00', '全网通（6GB+128GB）': '1459.00', '全网通（6GB+256GB）': '1499.00'}",7400+
华为畅享Max 7.12寸大屏手机 幻夜黑 全网通（6GB+128GB）,聚捷联盛手机旗舰店,{'': '1159.00'},800+
AppleA1661,瓜子二手商品专营店,"{'32G 全网通': '1599.00', '128G 全网通': '1768.00'}",3900+
华为（HUAWEI）华为mate20,牧申手机旗舰店,"{'6+64G 官方标配': '2699.00', '6+64G 碎屏险套餐': '2799.00', '6+128G 【官方标配】': '2599.00', '6+128G 碎屏险套餐': '3199.00'}",3400+
华为（HUAWEI）荣耀v20,佳沪手机旗舰店,"{'全网通8G+128G': '1899.00', '全网通6G+128G': '1699.00'}",8300+
纽曼N99,纽曼京东自营官方旗舰店,{'': '119.00'},9500+
小米 红米8A 手机 智能老人学生机 深海蓝 4GB+64GB,明日数码旗舰店,"{'3GB+32GB': '658.00', '4GB+64GB': '668.00'}",1600+
华为（HUAWEI）荣耀V30 Pro,掌视界数码旗舰店,{'': '4199.00'},200+
联想Lenovo Z5,联想手机京东自营官方旗舰店,{'': '798.00'},19万+
vivoX27Pro,vivo官方旗舰店,{'': '3298.00'},1600+
