model,store,versions,sale
ABLonG/爱宝隆 ,嘉祥数码,"{'32GB': '930.00', '64GB': '1010.00', '128GB': '1110.00'}",3617
honor/荣耀 荣耀Play3,荣耀官方旗舰店,"{'4+64GB': '899.00', '6+64GB': '1299.00'}",3547
Apple/苹果 iPhone XR ,钱柜数码 钱柜集市,"{'64GB': '3380.00', '128GB': '3750.00', '256GB': '3880.00'}",3539
Xiaomi/小米 Redmi Note8 Pro,苏宁易购官方旗舰店,"{'6+128GB': '1399.00', '8+128GB': '1599.00', '8+256GB': '1799.00', '6+64GB': '1199.00'}",3451
,福禄网游数卡专营店,{},3446
HUAWEI nova 5 Pro,京合旗舰店,"{'8+128GB': '2499.00', '8+256GB': '2899.00'}",3360
Huawei/华为 畅享 8e 青春,华为官方旗舰店,{'2+32GB': '799.00'},3356
Xiaomi/小米 Redmi 7A,小米官方旗舰店,"{'2+32GB': '539.00', '3+32GB': '549.00'}",3349
Xiaomi/小米 Redmi Note 8,苏宁易购官方旗舰店,"{'4+64GB': '999.00', '6+64GB': '1099.00', '6+128GB': '1299.00'}",3282
Apple/苹果 iPhone 8 Plus ,,"{'64GB': '2200.00', '256GB': '2580.00'}",3190
Nokia/诺基亚 105 新 SS,天讯蓝图数码专营店,{'4+4MB': '139.00'},3127
Philips/飞利浦 E212A,伟业恒通数码专营店,{'32MB': '258.00'},3083
纽曼 M6,纽曼深圳专卖店,{'64MB': '168.00'},3066
Apple/苹果 iPhone XS ,,"{'64GB': '3564.00', '128GB': '3811.50', '256GB': '3960.00'}",2930
Xiaomi/小米 Redmi 7A,苏宁易购官方旗舰店,{'3+32GB': '599.00'},2872
Apple/苹果 iPhone X ,奕星科技城,"{'64GB': '3600.00', '256GB': '4000.00'}",2869
Neken/尼凯恩 EN8,淘杰翔数码专营店,{'32MB': '89.00'},2817
HUAWEI HUAWEI Mate 30 Pro,华为官方旗舰店,"{'8+128GB': '5799.00', '8+256GB': '6299.00'}",2790
Apple/苹果 iPhone 7 Plus ,格拉科技,"{'32GB': '1500.00', '128GB': '1650.00', '256GB': '1750.00'}",2756
Xiaomi/小米 Redmi 8A,苏宁易购官方旗舰店,"{'3+32GB': '699.00', '4+64GB': '749.00'}",2743
守护宝 上海中兴L550,苏宁易购官方旗舰店,{'32MB': '86.00'},2736
Apple/苹果 iPhone 11 Pro ,,"{'64GB': '5070.00', '128GB': '5600.00', '256GB': '6470.00'}",2724
Xiaomi/小米 小米CC9 PRO,小米官方旗舰店,"{'6+128GB': '2599.00', '8+128GB': '2799.00'}",2723
Apple/苹果 iPhone 7 Plus ,天南数码科技,"{'32GB': '1600.00', '128GB': '1700.00', '256GB': '1850.00'}",2707
honor/荣耀 荣耀9x,广东电信亿品汇专卖店,"{'4+64GB': '1099.00', '6+64GB': '1399.00', '6+128GB': '1799.00', '8+128GB': '1999.00'}",2694
Apple/苹果 iPhone X,东和数码,"{'64GB': '3550.00', '256GB': '3950.00'}",2676
硕王 SAILF R20,硕王捷信时代专卖店,"{'3+32G': '398.00', '4+32': '498.00', '6+64G': '598.00', '6+128G': '698.00'}",2672
Apple/苹果 iPhone 8 Plus ,,"{'64GB': '2600.00', '256GB': '3000.00'}",2629
Apple/苹果 iPhone XS Max ,澳华数码潮品汇,"{'64GB': '4500.00', '256GB': '4750.00'}",2620
Xiaomi/小米 青春版,叮当数码手机,{'128GB': '1395.00'},2619
Xiaomi/小米 小米CC9,小米官方旗舰店,{'6+128GB': '1699.00'},2569
小辣椒 Q8,炜广天成数码专营店,{'256MB': '99.00'},2558
Xiaomi/小米 Redmi 8,小米官方旗舰店,"{'3+32GB': '699.00', '4+64GB': '799.00'}",2524
Apple/苹果 iPhone 11 Pro Max,苏宁易购官方旗舰店,{'64GB': '9599.00'},2453
Apple/苹果 iPhone 8 ,AC国际科技,"{'64GB': '1930.00 - 3810.00', '128GB': '1930.00 - 3810.00', '256GB': '1930.00 - 3810.00'}",2452
Apple/苹果 iPhone XR ,,"{'64GB': '3180.00 - 8100.00', '128GB': '3180.00 - 8100.00', '256GB': '3180.00 - 8100.00'}",2425
Neken/尼凯恩 EN3c,尼凯恩旗舰店,{'32MB': '99.00'},2422
,福禄网游数卡专营店,{},2418
HUAWEI 2299,华翼数码,{'64MB': '238.00 - 348.00'},2384
