model,store,versions,sale
Philips/飞利浦 E331K,优机汇数码专营店,{'32MB': '158.00'},916
OPPO Reno Ace,OPPO欧曙专卖店,"{'8+128GB': '2999.00', '8+256GB': '3199.00', '12+256GB': '3999.00'}",915
HUAWEI Mate 20 Pro ,国货平价网,{'128GB': '3218.00'},909
 ,深圳远望数码手机,{'256GB': '5'},903
Nokia/诺基亚 新106,宸欣数码专营店,{'4MB': '149.00'},897
Apple/苹果 iPhone 8 ,博粤数码,"{'64GB': '2119.00', '128GB': '2419.00', '256GB': '2469.00'}",895
Apple/苹果 iPhone 6s Plus,,"{'16GB': '918.00', '32GB': '968.00', '64GB': '1100.00', '128GB': '1200.00'}",892
honor/荣耀 荣耀10青春版,久汇数码专营店,"{'4+64GB': '868.00', '6+64GB': '1068.00', '6+128GB': '1269.00'}",880
OPPO K5,能良数码官方旗舰店,"{'8+128GB': '1999.00', '8+256GB': '2699.00'}",865
OPPO K5,三际数码官方旗舰店,"{'6+128GB': '1799.00', '8+128GB': '1999.00', '8+256GB': '2699.00'}",859
Apple/苹果 iPhone XR ,十年诚信 精于服务,"{'64GB': '3500.00', '128GB': '3800.00', '256GB': '4100.00'}",846
Samsung/三星 Galaxy Note10+ SM-N9760 5G,三星官方旗舰店,{'12+256GB': '7999.00'},844
Apple/苹果 iPhone XS ,年轻玩物主义,"{'64GB': '4450.00', '256GB': '5050.00'}",842
Xiaomi/小米 Redmi Note 8,三际数码官方旗舰店,"{'4+64GB': '999.00', '6+64GB': '1099.00', '6+128GB': '1299.00'}",840
honor/荣耀 荣耀20S,广东电信亿品汇专卖店,"{'6+128GB': '1499.00', '8+128GB': '2199.00'}",839
ABLonG/爱宝隆 ,丰达电子手机店,"{'16GB': '814.00', '32GB': '906.50', '64GB': '999.00', '128GB': '1091.50'}",836
vivo y66 ,d[s207662557],{'32GB': '440.00'},828
HUAWEI nova 5 Pro ,叮当数码手机,"{'128GB': '2138.00', '256GB': '2468.00'}",828
honor/荣耀 荣耀V30 ,红日通讯认准老店,{'128GB': '3099.00'},827
Apple/苹果 iphone6S,壹只机,"{'32GB': '930.00', '64GB': '1010.00', '128GB': '1110.00'}",823
创星（手机） Z9,赫尔曼数码专营店,{'64MB': '165.00'},822
OPPO R11 ,HK良品数码,{'64GB': '699.00'},820
vivo Z5,vivo天诚专卖店,"{'6+64GB': '1398.00', '6+128GB': '1598.00', '6+256GB': '1698.00', '8+128GB': '2148.00'}",818
硕王 R20,捷路通数码专营店,"{'4+32GB': '498.00', '6+64GB': '598.00', '3+32GB': '398.00', '6+128GB': '698.00'}",818
Samsung/三星 Galaxy S10+ SM-G9750 ,机峰认证代购,{'128GB': '3298.00'},807
HUAWEI nova 5 Pro ,同步电讯手机卖家,{'128GB': '2138.00'},806
Meizu/魅族 Note9,魅族官方旗舰店,"{'4+64GB': '1199.00', '6+64GB': '1299.00'}",804
HUAWEI nova 5 Pro,京联通达数码旗舰店,"{'8+128GB': '2499.00', '8+256GB': '2899.00'}",798
纽曼 P20,佳佳购数码专营店,"{'3+32GB': '899.00', '4+64GB': '999.00'}",797
koobee/酷比 Y3,koobee手机旗舰店,"{'4+64GB': '478.00', '6+64GB': '538.00', '6+128GB': '638.00'}",795
vivo Z5,三际数码官方旗舰店,"{'6+128GB': '1598.00', '8+128GB': '2098.00'}",794
honor/荣耀 荣耀V30 ,叮当数码手机,{'128GB': '3078.00'},791
Xiaomi/小米 Redmi K30 ,明通数码手机,{'128GB': '1618.00'},789
honor/荣耀 荣耀9X PRO ,一航通讯手机体验店,{'128GB': '1428.00'},789
Meizu/魅族 16 x,魅族官方旗舰店,{'6+64GB': '1098.00'},788
K-Touch/天语 X27,博科雅创数码专营店,"{'3+16GB': '399.00', '3+32GB': '499.00', '4+64GB': '569.00'}",776
纽曼 P20,万诚春数码专营店,"{'3+32GB': '899.00', '4+64GB': '999.00'}",776
vivo iQOO Neo,vivo官方旗舰店,"{'8+64GB': '2098.00', '8+128GB': '2298.00'}",775
HUAWEI nova 5z ,白开水数码,{'64GB': '1369.00'},774
K-Touch/天语 Q3,苏宁易购官方旗舰店,{'32MB': '99.00'},772
vivo iQOO Neo 855,苏宁易购官方旗舰店,"{'8+128GB': '2498.00', '6+128GB': '2298.00'}",771
honor/荣耀 荣耀8X,oksj数码旗舰店,"{'6+64GB': '1129.00', '6+128GB': '1299.00'}",769
honor/荣耀 荣耀V20 ,红日通讯认准老店,{'128GB': '1688.00'},768
HUAWEI HUAWEI Mate 30 Pro 5G,同步飞扬数码专营店,"{'8+128GB': '6399.00', '8+256GB': '6899.00', '8+512GB': '7899.00'}",767
Xiaomi/小米 redmi note 7 pro,土豪金手机,{'128GB': '1038.00'},764
皓轩（手机） H5,皓轩赛罗敷专卖店,{'64MB': '49.00'},761
HUAWEI nova 5 Pro,三际数码官方旗舰店,"{'8+128GB': '2499.00', '8+256GB': '2899.00'}",760
Meitu/美图 T9,美图旗舰店,{'4+64GB': '1099.00'},759
 ,爱富商城,"{'64GB': '3450.00', '128GB': '3850.00', '256GB': '4004.00'}",758
OPPO K5,OPPO金谷专卖店,"{'6+128GB': '1799.00', '8+128GB': '1999.00', '8+256GB': '2699.00'}",758
酷驰（电话和通讯） ,正品行货直销,"{'64GB': '468.00', '128GB': '538.00', '256GB': '598.00'}",757
HUAWEI HUAWEI P30 PRO,同步飞扬数码专营店,"{'8+128GB': '4488.00', '8+256GB': '4988.00', '8+512GB': '5788.00'}",755
Apple/苹果 iPhone XR ,中国深圳手机批发店,"{'64GB': '3489.50', '128GB': '3838.45', '256GB': '3938.15'}",754
Xiaomi/小米 小米9,能良数码官方旗舰店,{},753
Apple/苹果 iPhone XR ,中国深圳手机批发店,"{'64GB': '3489.50', '128GB': '3838.45', '256GB': '3938.15'}",754
Xiaomi/小米 小米9,能良数码官方旗舰店,"{'6+128GB': '2399.00', '8+256GB': '2599.00'}",753
Meitu/美图 T9,美图旅之丰专卖店,"{'4+64GB': '999.00', '6+128GB': '1299.00'}",751
Huawei/华为 Mate 20 Pro,华为官方旗舰店,{'6+128GB': '3999.00'},746
Apple/苹果 iPhone X ,时尚淘科技城,"{'64GB': '3400.00', '256GB': '3800.00'}",746
Xiaomi/小米 Redmi 8A,三际数码官方旗舰店,"{'3+32GB': '699.00', '4+64GB': '689.00'}",743
Meizu/魅族 X8,魅族官方旗舰店,"{'4+64GB': '898.00', '6+64GB': '1098.00'}",737
OPPO K3,OPPO欧曙专卖店,{'6+64GB': '1399.00'},736
OPPO K5,OPPO欧曙专卖店,"{'6+128GB': '1799.00', '8+128GB': '1999.00', '8+256GB': '2699.00'}",733
YEPEN/誉品 N2,誉品广联专卖店,"{'256MB': '118.00', '8GB': '158.00', '16GB': '178.00', '32GB': '198.00'}",730
honor/荣耀 荣耀Play3,博海宇通数码专营店,"{'4+64GB': '799.00', '4+128GB': '1299.00'}",727
honor/荣耀 荣耀V30,苏宁易购官方旗舰店,"{'6+128GB': '3299.00', '8+128GB': '3699.00'}",725
OPPO A11,OPPO官方旗舰店,"{'4+128GB': '1299.00', '6+128GB': '1499.00'}",725
vivo NEX 3 5G,vivo官方旗舰店,{'8GB+256GB': '5698.00'},724
honor/荣耀 荣耀V20,广东电信亿品汇专卖店,{'8+256GB': '2599.00'},717
K-Touch/天语 T2,苏宁易购官方旗舰店,{'32MB': '74.00'},715
DOOV/朵唯 小朵 S1,鼎峰数码专营店,"{'1+8GB': '299.00', '1+16GB': '349.00', '2+16GB': '399.00'}",714
honor/荣耀 荣耀20i,土豪金手机,{'64GB': '938.00'},714
Apple/苹果 iPhone XS Max ,红豆数码科技,"{'64GB': '3658.00', '256GB': '4058.00'}",713
Xiaomi/小米 小米CC 9E,土豪金手机,{'256GB': '1668.00'},712
DOOV/朵唯 W88,纯林伟业数码专营店,{'256MB': '95.00'},709
honor/荣耀 荣耀20S,三际数码官方旗舰店,"{'6+128GB': '1499.00', '8+128GB': '1999.00'}",707
HUAWEI 华为畅享10 plus,土豪金手机,{'128GB': '1348.00'},701
Apple/苹果 iPhone 8 Plus,苏宁易购官方旗舰店,{'64GB': '4388.00'},701
Xiaomi/小米 Redmi 8A,卓瓦数码专营店,"{'3+32GB': '649.00', '4+64GB': '679.00'}",698
OPPO Reno2 Z,OPPO官方旗舰店,{'8+128GB': '2299.00'},698
OPPO Reno,OPPO熊鑫专卖店,{'6+128GB': '1999.00'},696
Xiaomi/小米 小米CC9,小米官方旗舰店,{'8+256GB': '1999.00'},694
 ,明通数码手机,{'128GB': '3078.00'},693
vivo iQOO Pro 5G ,全国正品数码通讯1号店,{'128GB': '3498.00'},689
,福禄网游数卡专营店,{},686
小辣椒 小辣椒 R17,纯林伟业数码专营店,"{'2+16GB': '389.00', '2+32GB': '479.00', '3+32GB': '549.00', '3+64GB': '639.00'}",678
GINEEK/京立 L660,,{'32MB': '85.00'},678
HUAWEI HUAWEI mate 30 pro ,名品数码诚信的店铺,"{'128GB': '5168.00', '256GB': '5368.00'}",676
HUAWEI 2299,一零客数码批发店,{'128MB': '48.00'},672
HUAWEI HUAWEI P30,同步飞扬数码专营店,"{'8+64GB': '3388.00', '6+128GB': '3388.00', '8+128GB': '3688.00', '8+256GB': '4188.00'}",672
VIIPOO ,,"{'32GB': '348.00', '64GB': '448.00'}",671
HUAWEI 华为畅享10 plus,久汇数码专营店,"{'6+128GB': '1699.00', '4+128GB': '1399.00', '8+128GB': '1899.00'}",670
OPPO Reno Ace,三际数码官方旗舰店,"{'8+128GB': '2999.00', '8+256GB': '3199.00', '12+256GB': '3999.00'}",669
honor/荣耀 荣耀V20,蓝港数码专营店,{'8+256GB': '2599.00'},666
Xiaomi/小米 Redmi K30,69数码手机,{'64GB': '1538.00'},664
 ,深港3C数码,"{'64GB': '3700.00', '128GB': '4000.00', '256GB': '4100.00'}",663
小辣椒 小辣椒P60,小辣椒缔盟专卖店,"{'4+64GB': '599.00', '6G+64GB': '699.00', '6G+128GB': '799.00', '8+128GB': '999.00'}",661
vivo X30 Pro,vivo官方旗舰店,{'8+128GB': '3998.00'},657
Xiaomi/小米 Redmi 8A,小米官方旗舰店,"{'3+32GB': '699.00', '4+64GB': '699.00'}",648
Apple/苹果 iPhone XR,苏宁易购官方旗舰店,{'128GB': '5299.00'},647
Xiaomi/小米 小米CC9,叮当数码手机,{'256GB': '1658.00'},642
honor/荣耀 荣耀9x ,红日通讯认准老店,{'64GB': '1088.00'},641
索爱 SA-T1,百吉利数码专营店,{'64MB': '89.00'},640
realme X2,苏宁易购官方旗舰店,"{'6+64GB': '1499.00', '6+128GB': '1699.00', '8+128GB': '1899.00'}",639
vivo Z5X,能良数码官方旗舰店,"{'4+64GB': '1298.00', '6+64GB': '1298.00', '6+128GB': '1398.00'}",639
Philips/飞利浦 E108,飞利浦手机官方旗舰店,{'32MB': '79.00'},635
OPPO K3,苏宁易购官方旗舰店,{'8+128GB': '1799.00'},635
BIHEE I100G ,BIHEE百合手机官方网店,{'无': '159.00'},634
YEPEN/誉品 M560,誉品旗舰店,{'32MB': '99.00'},634
Swopy/索品 S2,索品数码专营店,{'32MB': '59.00'},632
vivo Z1i,vivo官方旗舰店,{'6+128GB': '1099.00'},631
OPPO Reno,OPPO官方旗舰店,"{'6+256GB': '2499.00', '8+256GB': '2799.00'}",628
HY ,老人机大世界,{'128MB': '198.00'},627
honor/荣耀 荣耀play3,,{'64GB': '788.00'},627
HUAWEI 畅享5S ,老年人智能手机店,{'16GB': '350.00'},623
honor/荣耀 荣耀10青春版,三际数码官方旗舰店,"{'4+64GB': '868.00', '6+64GB': '1069.00', '6+128GB': '1299.00'}",622
Apple/苹果 iPhone XS ,,"{'64GB': '3550.00', '256GB': '4050.00'}",617
OPPO A5,佳惠兴通数码专营店,{'4+64GB': '1199.00'},616
realme X,realme官方旗舰店,{'8+128GB': '1699.00'},615
LGRAVER ,亿添富数码广场,{'4GB': '165.00'},613
HUAWEI 畅享9,久汇数码专营店,"{'4+64GB': '838.00', '4+128GB': '998.00'}",610
HUAWEI HUAWEI Mate 30 5G,同步飞扬数码专营店,"{'8+128GB': '4999.00', '8+256GB': '5499.00'}",609
vivo y67 ,优选服务商家,{'32GB': '408.00'},608
K-Touch/天语 Q3,天语强宇专卖店,{'32MB': '109.00'},608
坚果 Pro 3,苏宁易购官方旗舰店,"{'8+128GB': '2899.00', '8+256GB': '3199.00'}",607
honor/荣耀 荣耀20 pro,三际数码官方旗舰店,"{'8+128GB': '2699.00', '8+256GB': '2999.00'}",603
 ,西湖数码,"{'128GB': '5808.00', '256GB': '6288.00', '512GB': '6938.00'}",603
honor/荣耀 荣耀magic 2,荣耀官方旗舰店,{'8+128GB': '1799.00'},601
皓轩 H6,,{'32MB': '39.00'},599
Apple/苹果 iPhone 8,苏宁易购官方旗舰店,{'128GB': '3999.00'},597
HUAWEI 华为畅享10 plus,小淘器数码专营店,"{'4+128GB': '1399.00', '6+128GB': '1699.00', '8+128GB': '1899.00'}",595
Meitu/美图 MP1710,美图旗舰店,{'4+128GB': '1399.00'},595
honor/荣耀 荣耀20 pro ,一航通讯手机体验店,{'128GB': '2228.00'},595
honor/荣耀 荣耀20,三际数码官方旗舰店,"{'8+128GB': '2199.00', '8+256GB': '2499.00'}",594
vivo Z5,vivo欧曙专卖店,"{'6+128GB': '1598.00', '8+128GB': '2098.00'}",592
HUAWEI SPN-AL00,蓝港数码专营店,"{'8+128GB': '2299.00', '8+256GB': '2599.00', '6+128GB': '1999.00'}",592
HUAWEI HUAWEI P30 PRO ,同步电讯手机卖家,"{'128GB': '3898.00', '256GB': '4298.00', '512GB': '5158.00'}",589
Philips/飞利浦 E107,苏宁易购官方旗舰店,{'24MB': '79.00'},587
realme X2 Pro,realme官方旗舰店,"{'8+128GB': '2899.00', '12+256GB': '3299.00', '8+256GB': '3099.00'}",586
Apple/苹果 Apple iPhone 11,武汉电信旗舰,"{'64GB': '5299.00', '128GB': '5799.00'}",586
Apple/苹果 iphone6S,yulong科技,"{'16GB': '850.00', '32GB': '920.00', '64GB': '1020.00', '128GB': '1120.00'}",586
HUAWEI 畅享9 PLUS,中国移动官方旗舰店,{'6+128GB': '1328.00'},585
honor/荣耀 荣耀9x,oksj数码旗舰店,"{'4+64GB': '1099.00', '6+64GB': '1299.00', '6+128GB': '1799.00', '8+128GB': '1999.00'}",579
HY ,易购手机大卖场,{'64MB': '168.00'},579
Apple/苹果 iPhone 11 ,领域数码通讯,"{'128GB': '5750.00', '256GB': '6580.00'}",575
HUAWEI HUAWEI mate 30 pro ,西湖数码,"{'128GB': '5308.00', '256GB': '5478.00'}",574
纽曼 L520,宸欣数码专营店,{'32MB': '148.00'},572
HUAWEI nova 4e,中国移动官方旗舰店,{'6+128GB': '1218.00'},571
DOOV/朵唯 V33,朵唯官方旗舰店,{'3+32GB': '399.00'},570
vivo y67 ,兄弟联盟 手机 五金,{'32GB': '458.00'},570
Apple/苹果 iPhone SE,亿佳V数码,"{'16GB': '850.00', '32GB': '960.00', '64GB': '1020.00', '128GB': '1120.00'}",569
vivo S1pro,vivo官方旗舰店,"{'8+128GB': '1998.00', '6+256GB': '2298.00', '6+128GB': '1698.00'}",569
Apple/苹果 iPhone 8 Plus ,蓝希苹果数码体验店,"{'64GB': '2700.00', '256GB': '3200.00'}",563
Apple/苹果 iPhone 8,苏宁易购官方旗舰店,"{'64GB': '3499.00', '128GB': '3999.00'}",562
Xiaomi/小米 redmi note 7 pro ,深圳远望数码手机,{'128GB': '5'},562
HUAWEI Huawei Mate 30 Pro 5G ,红日通讯认准老店,"{'128GB': '4598.00', '256GB': '5008.00'}",561
Xiaomi/小米 小米CC9 PRO,苏宁易购官方旗舰店,"{'6+128GB': '2799.00', '8+128GB': '2999.00'}",561
HUAWEI HUAWEI mate 30 pro ,,{'128GB': '3438.00'},559
Apple/苹果 iphone6S,悠悠数码,"{'16GB': '880.00', '32GB': '950.00', '64GB': '990.00', '128GB': '1090.00'}",558
HUAWEI HUAWEI mate 30 pro ,,"{'128GB': '5238.00', '256GB': '5438.00'}",557
Samsung/三星 Galaxy S8+ ,新泰时尚,"{'64GB': '1730.00', '128GB': '2000.00'}",557
Xiaomi/小米 redmi note 7 pro,三际数码官方旗舰店,{'6+128GB': '1099.00'},555
DOOV/朵唯 X11 Pro,朵唯官方旗舰店,{'6+128GB': '699.00'},553
HUAWEI SPN-AL00,京合旗舰店,"{'6+128GB': '1799.00', '8+128GB': '2099.00', '8+256GB': '2399.00'}",552
vivo Z5X,vivo官方旗舰店,"{'6+128GB': '1398.00', '6+64GB': '1298.00'}",550
Nokia/诺基亚 600,鹏展科技通讯,{'128MB': '48.00'},549
honor/荣耀 荣耀Play3,广东电信亿品汇专卖店,"{'4+64GB': '799.00', '6+64GB': '1199.00', '4+128GB': '1299.00'}",538
Nokia/诺基亚 600,一零客数码批发店,{'32MB': '50.00'},537
 ,焱论,"{'64GB': '2050.00', '256GB': '2300.00'}",534
HUAWEI nova 5,华为官方旗舰店,{'8+128GB': '2599.00'},531
Xiaomi/小米 Redmi 7A,小米官方旗舰店,"{'2+32GB': '539.00', '3+32GB': '549.00'}",530
Xiaomi/小米 Redmi K20 Pro,三际数码官方旗舰店,{'8+256GB': '2499.00'},524
HY ,诺基亚の正品,{'128MB': '118.00'},524
HUAWEI 麦芒 8,华为官方旗舰店,{'6+128GB': '1599.00'},523
硕王 硕王 SAILF R20,硕王鑫基汇专卖店,"{'【经济版】3G运行+32G内存': '398.00', '【普通版】4G运行+32G内存': '498.00', '【高配版】6G运行+64G内存': '598.00', '【顶配版】6G运行+128G内存': '698.00'}",520
vivo X27,首佳誉数码专营店,{'8+128GB': '2498.00'},520
OPPO A5,OPPO官方旗舰店,{'3+64GB': '899.00'},520
VIVL（手机） v17 ,正品手机4G工厂店,{'128GB': '258.00'},520
HUAWEI nova 5 Pro,能良数码官方旗舰店,"{'8+128GB': '2499.00', '8+256GB': '2899.00'}",518
HUAWEI HUAWEI Mate 30 Pro 5G,三际数码官方旗舰店,"{'8+128GB': '6399.00', '8+256GB': '6899.00', '8+512GB': '7899.00'}",518
HY ,彩虹商贸数码,{'32MB': '208.00'},518
Xiaomi/小米 Redmi 8,土豪金手机,{'32GB': '673.00'},517
HUAWEI HUAWEI P30 PRO,京合旗舰店,"{'8+128GB': '4488.00', '8+256GB': '4988.00', '8+512GB': '5788.00'}",517
vivo iQOO Pro 5G,苏宁易购官方旗舰店,"{'8GB+128GB': '3198.00', '12GB+128GB': '3498.00'}",517
honor/荣耀 荣耀9x ,金誉数码手机,{'64GB': '1068.00'},515
HUAWEI 畅享9 PLUS,华为官方旗舰店,"{'4+128GB': '1449.00', '6+128GB': '1749.00'}",513
 ,,"{'16GB': '279.00', '32GB': '389.00'}",507
Meizu/魅族 魅蓝note6,魅族魅蓝机,{'16GB': '213.00'},505
honor/荣耀 荣耀20 pro,能良数码官方旗舰店,"{'8+128GB': '2699.00', '8+256GB': '2999.00'}",505
HUAWEI 华为畅享10 plus,苏宁易购官方旗舰店,"{'6+128GB': '1699.00', '8+128GB': '1899.00'}",504
Xiaomi/小米 Redmi K30,三际数码官方旗舰店,"{'6+128GB': '1699.00', '8+128GB': '1899.00', '8+256GB': '2199.00', '6+64GB': '1599.00'}",503
vivo Z5,能良数码官方旗舰店,"{'6+128GB': '1598.00', '8+128GB': '2098.00'}",502
Apple/苹果 iPhone XR ,,"{'64GB': '3500.00', '128GB': '3800.00', '256GB': '4050.00'}",502
OPPO K5,OPPO聚洪欧珀专卖店,"{'6+128GB': '1799.00', '8+128GB': '1999.00', '8+256GB': '2599.00'}",500
LGRAVER ,振华正品手机,{'64MB': '89.00'},500
HUAWEI Mate 20 Pro ,鲁信数码手机店,{'128GB': '3339.00'},497
Xiaomi/小米 Redmi 8A,中国移动官方旗舰店,"{'4+64GB': '739.00', '3+32GB': '689.00'}",495
Apple/苹果 iPhone 11 Pro ,光头手机,"{'64GB': '7458.00', '256GB': '8508.00', '512GB': '9988.00'}",495
Xiaomi/小米 小米CC 9E,小米官方旗舰店,"{'4+128GB': '1099.00', '6+128GB': '1299.00'}",494
Xiaomi/小米 黑鲨游戏手机2Pro ,红日通讯认准老店,{'128GB': '1118.00'},493
HUAWEI HUAWEI Mate 30 Pro 5G,乐哇数码专营店,"{'8+128GB': '6399.00', '8+256GB': '6899.00', '8+512GB': '7899.00'}",492
HUAWEI nova 5 Pro ,金誉数码手机,"{'128GB': '2107.99', '256GB': '2438.00'}",490
Xiaomi/小米 Redmi 7,土豪金手机,{'16GB': '748.00'},488
vivo iQOO Pro 5G,vivo欧曙专卖店,"{'8GB+128GB': '3498.00', '8GB+256GB': '3998.00', '12GB+128GB': '3798.00'}",486
 ,派派数码通讯,"{'64GB': '3178.00', '128GB': '3568.00'}",485
Xiaomi/小米 小米9,三际数码官方旗舰店,"{'8+128GB': '2479.00', '8+256GB': '2549.00'}",484
honor/荣耀 荣耀9x,诚亨通讯智能手机专家,{'64GB': '1049.00'},481
HUAWEI nova 4e,博海宇通数码专营店,"{'4+128GB': '1199.00', '6+128GB': '1199.00'}",480
honor/荣耀 荣耀20青春版,广东电信亿品汇专卖店,"{'6+64GB': '1399.00', '6+128GB': '1699.00', '8+128GB': '1899.00', '4+64GB': '1099.00'}",479
Xiaomi/小米 小米9,魅立数码专营店,"{'6+128GB': '2299.00', '8+128GB': '2479.00', '8+256GB': '2499.00'}",479
 ,一米阳光通讯城,{'32GB': '448.00'},477
Apple/苹果 iPhone 11,轻松换数码旗舰店,"{'64GB': '5258.00', '128GB': '5788.00', '256GB': '6688.00'}",477
honor/荣耀 荣耀20青春版,三际数码官方旗舰店,"{'4+64GB': '1099.00', '6+64GB': '1399.00', '6+128GB': '1699.00', '8+128GB': '1899.00'}",476
honor/荣耀 荣耀20青春版,荣耀官方旗舰店,"{'4+64GB': '1099.00', '6+64GB': '1399.00', '6+128GB': '1699.00', '8+128GB': '1899.00'}",475
honor/荣耀 荣耀Play3,苏宁易购官方旗舰店,"{'4+64GB': '899.00', '6+64GB': '1299.00'}",472
Xiaomi/小米 小米CC 9E,金誉数码手机,{'64GB': '1298.00'},472
Meizu/魅族 魅蓝Note5全网通 ,机遇通讯8,"{'16GB': '325.00', '32GB': '355.00', '64GB': '518.00'}",472
Xiaomi/小米 Redmi Note 8,能良数码官方旗舰店,"{'4+64GB': '999.00', '6+64GB': '1099.00', '6+128GB': '1269.00'}",472
Nokia/诺基亚 新105,天讯蓝图数码专营店,{'4MB': '139.00'},470
Apple/苹果 iPhone 11,中国移动手机官方旗舰店,"{'64GB': '5249.00', '128GB': '5839.00'}",470
honor/荣耀 荣耀20 pro,苏宁易购官方旗舰店,{'8+128GB': '2699.00'},469
 ,土豪金手机,{'128GB': '2308.00'},469
HUAWEI HUAWEI Mate 30 Pro 5G,华为莫问专卖店,"{'8+128GB': '6399.00', '8+256GB': '6899.00', '8+512GB': '7899.00'}",467
Meizu/魅族 魅蓝note3 ,魅族魅蓝直销店,{'16GB': '195.00'},466
honor/荣耀 荣耀9x,能良数码官方旗舰店,"{'6+64GB': '1399.00', '6+128GB': '1799.00'}",465
Apple/苹果 iPhone 8 ,格拉科技,"{'64GB': '2150.00', '256GB': '2450.00'}",465
Samsung/三星 Galaxy S9+ ,机峰认证代购,"{'64GB': '2438.00', '128GB': '2608.00', '256GB': '2918.00'}",463
honor/荣耀 荣耀8X,三际数码官方旗舰店,"{'4+64GB': '879.00', '6+64GB': '1099.00', '6+128GB': '1299.00'}",463
Apple/苹果 iPhone 11 ,简益通讯,"{'64GB': '5159.00', '128GB': '5629.00', '256GB': '6459.00'}",462
OPPO K5,首佳誉数码专营店,"{'8+128GB': '1999.00', '6+128GB': '1799.00', '8+256GB': '2699.00'}",460
honor/荣耀 荣耀9x,能良数码官方旗舰店,"{'4+64GB': '1099.00', '6+128GB': '1799.00'}",471
Samsung/三星 Galaxy S9+ ,机峰认证代购,"{'64GB': '2438.00', '128GB': '2608.00', '256GB': '2918.00'}",470
HUAWEI 华为畅享10 plus,和来达数码专营店,"{'4+128GB': '1399.00', '6+128GB': '1699.00', '8+128GB': '1899.00'}",470
Xiaomi/小米 小米8,品尚通讯,"{'64GB': '1538.00', '128GB': '1638.00', '256GB': '1878.00'}",470
K-Touch/天语 X71,苏宁易购官方旗舰店,{'32MB': '78.00'},470
Meizu/魅族 魅蓝note3 ,魅族魅蓝直销店,{'16GB': '195.00'},469
HUAWEI HUAWEI Mate 30 Pro 5G,华为莫问专卖店,"{'8+128GB': '6399.00', '8+256GB': '6899.00', '8+512GB': '7899.00'}",468
honor/荣耀 荣耀play3,土豪金手机,{'64GB': '773.00'},467
Apple/苹果 iPhone 11 Pro Max ,东洋倒爷 舶来品物贩专门店,"{'64GB': '5300.00', '256GB': '6350.00', '512GB': '6650.00'}",466
Apple/苹果 iPhone 11,中国移动手机官方旗舰店,"{'64GB': '5249.00', '128GB': '5839.00'}",466
honor/荣耀 荣耀20 pro,苏宁易购官方旗舰店,{'8+128GB': '2699.00'},465
Apple/苹果 iPhone 8 Plus ,新园通讯数码,"{'64GB': '1948.00', '256GB': '2438.00'}",464
OPPO R17 ,,{'128GB': '1499.00'},464
honor/荣耀 荣耀20 ,一航通讯手机体验店,{'128GB': '1993.00'},464
Apple/苹果 iPhone 8 ,顺辰数码,"{'64GB': '2150.00', '128GB': '2400.00', '256GB': '2450.00'}",463
纽曼 P308,锦万数码专营,"{'3+32GB': '398.00', '4+32GB': '498.00', '6+64GB': '598.00', '6+128GB': '698.00'}",463
OPPO A5,能良数码官方旗舰店,{'4+64GB': '1199.00'},463
 ,美淘电子商城,{'256MB': '98.00'},462
OPPO K5,OPPO酷炫专卖店,"{'8+128GB': '1999.00', '6+128GB': '1799.00'}",462
Apple/苹果 iPhone 11 ,简益通讯,"{'64GB': '5899.00', '128GB': '6399.00', '256GB': '7199.00'}",462
vivo Z5X,能良数码官方旗舰店,"{'4+64GB': '1298.00', '6+64GB': '1298.00', '6+128GB': '1398.00', '8+128GB': '1698.00'}",460
Apple/苹果 Apple iphone 11 pro,洋桃旗舰店,{'64GB': '9999.00'},459
OnePlus/一加 ,红日通讯认准老店,{'128GB': '2949.00'},458
守护宝 F6S,守护宝大秦先锋专卖店,"{'3+32GB': '398.00', '4+32GB': '468.00'}",457
Nokia/诺基亚 600,翔飞数码通讯,{'128MB': '48.00'},457
HUAWEI HUAWEI Mate 30 5G,三际数码官方旗舰店,"{'8+128GB': '4999.00', '8+256GB': '5499.00'}",454
 ,,{'64GB': '1069.00'},453
Xiaomi/小米 Redmi 8,叮当数码手机,{'32GB': '673.00'},452
守护宝 ZTEtech L660,苏宁易购官方旗舰店,{'32MB': '179.00'},452
OPPO Reno Ace,,{'128GB': '2999.00'},451
Philips/飞利浦 E212A,苏宁易购官方旗舰店,{'32MB': '299.00'},450
HUAWEI HUAWEI Mate 30 Pro 5G,蓝港数码专营店,"{'8+256GB': '6899.00', '8+512GB': '7899.00', '8+128GB': '6399.00'}",450
Apple/苹果 iPhone XS Max ,,"{'64GB': '4840.00', '256GB': '5240.00'}",449
 ,皇庭通讯自营店,"{'64GB': '3680.00', '256GB': '4180.00'}",448
honor/荣耀 荣耀20i,荣耀官方旗舰店,"{'6+64GB': '1199.00', '4+128GB': '1399.00', '6+256GB': '1899.00'}",446
Nokia/诺基亚 600,诺基亚の正品,{'128MB': '118.00'},445
realme X2,问鼎数码专营店,"{'6+64GB': '1499.00', '8+128GB': '1699.00', '6+128GB': '1599.00'}",444
honor/荣耀 荣耀20青春版,苏宁易购官方旗舰店,"{'4+64GB': '1099.00', '6+64GB': '1399.00'}",442
Xiaomi/小米 黑鲨游戏手机2Pro,白开水数码,{'128GB': '2149.00'},442
